ProductID,Product,Category,Units_Sold,ProductionSource
P0001,Yogurt,Dairy,161,Imported (China)
P0002,Cheese,Dairy,193,Factory A
P0003,Milk,Dairy,367,Imported (USA)
P0004,Cheese,Dairy,433,Local Farm
P0005,Milk,Dairy,377,Local Farm
P0006,Butter,Dairy,369,Imported (China)
P0007,Cheese,Dairy,573,Local Manufacturer
P0008,Milk,Dairy,424,Imported (China)
P0009,Yogurt,Dairy,495,Imported (USA)
P0010,Yogurt,Dairy,200,Factory B
P0011,Butter,Dairy,219,Imported (China)
P0012,Butter,Dairy,179,Local Manufacturer
P0013,Yogurt,Dairy,563,Factory A
P0014,Ice Cream,Dairy,446,Imported (China)
P0015,Ice Cream,Dairy,109,Local Farm
P0016,Yogurt,Dairy,553,Factory B
P0017,Yogurt,Dairy,114,Local Farm
P0018,Yogurt,Dairy,575,Imported (China)
P0019,Cheese,Dairy,580,Local Manufacturer
P0020,Cheese,Dairy,291,Imported (USA)
P0021,Yogurt,Dairy,91,Imported (USA)
P0022,Ice Cream,Dairy,47,Local Farm
P0023,Ice Cream,Dairy,550,Factory B
P0024,Butter,Dairy,389,Factory B
P0025,Yogurt,Dairy,236,Local Farm
P0026,Butter,Dairy,82,Factory A
P0027,Butter,Dairy,59,Local Manufacturer
P0028,Milk,Dairy,542,Imported (USA)
P0029,Ice Cream,Dairy,575,Local Farm
P0030,Butter,Dairy,144,Local Manufacturer
P0031,Butter,Dairy,496,Factory B
P0032,Yogurt,Dairy,117,Imported (China)
P0033,Butter,Dairy,139,Local Farm
P0034,Milk,Dairy,552,Imported (USA)
P0035,Butter,Dairy,409,Imported (USA)
P0036,Ice Cream,Dairy,306,Imported (China)
P0037,Ice Cream,Dairy,570,Imported (China)
P0038,Cheese,Dairy,52,Factory B
P0039,Butter,Dairy,428,Local Farm
P0040,Butter,Dairy,344,Factory B
P0041,Milk,Dairy,220,Factory A
P0042,Butter,Dairy,138,Imported (USA)
P0043,Ice Cream,Dairy,571,Local Farm
P0044,Ice Cream,Dairy,128,Imported (China)
P0045,Milk,Dairy,365,Local Manufacturer
P0046,Ice Cream,Dairy,227,Local Manufacturer
P0047,Ice Cream,Dairy,418,Factory A
P0048,Milk,Dairy,145,Factory B
P0049,Butter,Dairy,360,Factory A
P0050,Ice Cream,Dairy,358,Imported (China)
P0051,Yogurt,Dairy,108,Imported (USA)
P0052,Cheese,Dairy,340,Imported (China)
P0053,Yogurt,Dairy,20,Imported (China)
P0054,Ice Cream,Dairy,465,Local Manufacturer
P0055,Ice Cream,Dairy,296,Local Manufacturer
P0056,Ice Cream,Dairy,162,Imported (USA)
P0057,Ice Cream,Dairy,292,Local Farm
P0058,Milk,Dairy,471,Factory A
P0059,Cheese,Dairy,168,Factory B
P0060,Milk,Dairy,328,Imported (China)
P0061,Yogurt,Dairy,349,Factory A
P0062,Yogurt,Dairy,490,Local Farm
P0063,Yogurt,Dairy,182,Local Farm
P0064,Butter,Dairy,542,Imported (China)
P0065,Yogurt,Dairy,103,Imported (China)
P0066,Butter,Dairy,339,Local Manufacturer
P0067,Ice Cream,Dairy,486,Local Manufacturer
P0068,Milk,Dairy,50,Imported (USA)
P0069,Milk,Dairy,416,Factory A
P0070,Ice Cream,Dairy,68,Local Manufacturer
P0071,Milk,Dairy,480,Imported (China)
P0072,Containers,Packaging,154,Factory B
P0073,Containers,Packaging,374,Imported (China)
P0074,Plastic Wrap,Packaging,187,Imported (China)
P0075,Styrofoam,Packaging,315,Factory A
P0076,Packaging,Packaging,571,Imported (China)
P0077,Cardboard Box,Packaging,228,Imported (USA)
P0078,Cardboard Box,Packaging,560,Local Farm
P0079,Cardboard Box,Packaging,570,Factory B
P0080,Cardboard Box,Packaging,107,Local Farm
P0081,Cardboard Box,Packaging,265,Local Manufacturer
P0082,Styrofoam,Packaging,443,Factory A
P0083,Containers,Packaging,106,Imported (China)
P0084,Cardboard Box,Packaging,168,Factory B
P0085,Cardboard Box,Packaging,338,Factory B
P0086,Packaging,Packaging,260,Factory B
P0087,Plastic Wrap,Packaging,273,Local Farm
P0088,Cardboard Box,Packaging,478,Factory B
P0089,Packaging,Packaging,347,Factory A
P0090,Cardboard Box,Packaging,264,Local Manufacturer
P0091,Styrofoam,Packaging,143,Factory A
P0092,Cardboard Box,Packaging,170,Factory B
P0093,Packaging,Packaging,554,Imported (China)
P0094,Styrofoam,Packaging,527,Factory B
P0095,Containers,Packaging,323,Imported (China)
P0096,Containers,Packaging,305,Factory B
P0097,Cardboard Box,Packaging,23,Factory A
P0098,Cardboard Box,Packaging,413,Local Farm
P0099,Containers,Packaging,242,Imported (USA)
P0100,Plastic Wrap,Packaging,249,Factory B
P0101,Containers,Packaging,37,Factory A
P0102,Packaging,Packaging,122,Local Manufacturer
P0103,Styrofoam,Packaging,33,Local Farm
P0104,Containers,Packaging,389,Local Farm
P0105,Cardboard Box,Packaging,472,Factory B
P0106,Packaging,Packaging,247,Imported (China)
P0107,Styrofoam,Packaging,410,Factory A
P0108,Cardboard Box,Packaging,571,Factory A
P0109,Containers,Packaging,510,Factory B
P0110,Plastic Wrap,Packaging,38,Local Manufacturer
P0111,Styrofoam,Packaging,53,Factory B
P0112,Cardboard Box,Packaging,216,Local Farm
P0113,Cardboard Box,Packaging,51,Imported (China)
P0114,Containers,Packaging,329,Factory B
P0115,Packaging,Packaging,32,Imported (China)
P0116,Plastic Wrap,Packaging,361,Factory A
P0117,Packaging,Packaging,108,Factory A
P0118,Packaging,Packaging,329,Local Farm
P0119,Packaging,Packaging,107,Factory A
P0120,Styrofoam,Packaging,351,Local Manufacturer
P0121,Containers,Packaging,488,Imported (USA)
P0122,Containers,Packaging,210,Local Manufacturer
P0123,Packaging,Packaging,503,Imported (USA)
P0124,Packaging,Packaging,88,Factory A
P0125,Packaging,Packaging,95,Local Farm
P0126,Plastic Wrap,Packaging,276,Local Manufacturer
P0127,Cardboard Box,Packaging,468,Imported (USA)
P0128,Packaging,Packaging,318,Factory A
P0129,Cardboard Box,Packaging,43,Factory B
P0130,Styrofoam,Packaging,543,Local Manufacturer
P0131,Packaging,Packaging,91,Local Farm
P0132,Cardboard Box,Packaging,235,Factory B
P0133,Packaging,Packaging,308,Factory B
P0134,Cardboard Box,Packaging,591,Factory A
P0135,Cardboard Box,Packaging,53,Local Manufacturer
P0136,Plastic Wrap,Packaging,190,Imported (China)
P0137,Packaging,Packaging,230,Imported (USA)
P0138,Containers,Packaging,280,Local Manufacturer
P0139,Plastic Wrap,Packaging,28,Local Farm
P0140,Containers,Packaging,598,Factory A
P0141,Cardboard Box,Packaging,125,Factory A
P0142,Containers,Packaging,514,Local Manufacturer
P0143,Laptop,Electronics,117,Factory B
P0144,Headphones,Electronics,596,Imported (USA)
P0145,Phone,Electronics,302,Local Manufacturer
P0146,Phone,Electronics,48,Imported (China)
P0147,Tablet,Electronics,427,Local Manufacturer
P0148,Tablet,Electronics,277,Factory A
P0149,Laptop,Electronics,496,Imported (China)
P0150,Battery,Electronics,414,Imported (USA)
P0151,Monitor,Electronics,316,Factory B
P0152,Phone,Electronics,333,Imported (USA)
P0153,Headphones,Electronics,35,Imported (China)
P0154,Headphones,Electronics,69,Imported (China)
P0155,Tablet,Electronics,170,Factory A
P0156,Laptop,Electronics,553,Imported (USA)
P0157,Laptop,Electronics,565,Imported (USA)
P0158,Phone,Electronics,348,Factory B
P0159,Battery,Electronics,120,Imported (USA)
P0160,Battery,Electronics,533,Local Manufacturer
P0161,Battery,Electronics,267,Local Manufacturer
P0162,Monitor,Electronics,553,Factory A
P0163,Laptop,Electronics,356,Factory B
P0164,Laptop,Electronics,550,Imported (China)
P0165,Phone,Electronics,412,Local Manufacturer
P0166,Headphones,Electronics,573,Local Manufacturer
P0167,Phone,Electronics,380,Factory B
P0168,Tablet,Electronics,510,Factory A
P0169,Tablet,Electronics,438,Local Manufacturer
P0170,Laptop,Electronics,198,Imported (China)
P0171,Laptop,Electronics,405,Imported (China)
P0172,Headphones,Electronics,424,Local Farm
P0173,Laptop,Electronics,287,Imported (China)
P0174,Battery,Electronics,273,Local Manufacturer
P0175,Laptop,Electronics,550,Imported (China)
P0176,Headphones,Electronics,517,Imported (China)
P0177,Headphones,Electronics,537,Factory A
P0178,Tablet,Electronics,37,Factory A
P0179,Monitor,Electronics,561,Imported (USA)
P0180,Phone,Electronics,87,Factory B
P0181,Phone,Electronics,492,Factory B
P0182,Headphones,Electronics,107,Factory A
P0183,Battery,Electronics,276,Imported (USA)
P0184,Phone,Electronics,394,Factory B
P0185,Battery,Electronics,154,Local Manufacturer
P0186,Headphones,Electronics,378,Imported (USA)
P0187,Battery,Electronics,329,Local Farm
P0188,Phone,Electronics,327,Factory B
P0189,Battery,Electronics,355,Local Farm
P0190,Laptop,Electronics,122,Imported (USA)
P0191,Phone,Electronics,328,Factory A
P0192,Monitor,Electronics,436,Factory B
P0193,Monitor,Electronics,93,Local Farm
P0194,Monitor,Electronics,515,Local Manufacturer
P0195,Headphones,Electronics,454,Local Farm
P0196,Monitor,Electronics,87,Imported (USA)
P0197,Battery,Electronics,488,Local Farm
P0198,Laptop,Electronics,549,Imported (China)
P0199,Tablet,Electronics,242,Imported (China)
P0200,Tablet,Electronics,66,Local Farm
P0201,Laptop,Electronics,144,Factory B
P0202,Laptop,Electronics,349,Local Manufacturer
P0203,Tablet,Electronics,429,Imported (USA)
P0204,Battery,Electronics,279,Factory B
P0205,Headphones,Electronics,313,Factory A
P0206,Tablet,Electronics,226,Imported (USA)
P0207,Headphones,Electronics,523,Imported (USA)
P0208,Phone,Electronics,149,Factory A
P0209,Battery,Electronics,169,Factory A
P0210,Laptop,Electronics,435,Imported (USA)
P0211,Phone,Electronics,597,Local Manufacturer
P0212,Battery,Electronics,311,Factory B
