ProductID,Product,Category,Units_Sold,ProductionSource
P0001,Yogurt,Dairy,103,Imported (China)
P0002,Ice Cream,Dairy,149,Local Manufacturer
P0003,Yogurt,Dairy,376,Local Farm
P0004,Ice Cream,Dairy,615,Factory B
P0005,Butter,Dairy,232,Factory B
P0006,Milk,Dairy,191,Local Manufacturer
P0007,Butter,Dairy,465,Imported (USA)
P0008,Milk,Dairy,393,Factory A
P0009,Ice Cream,Dairy,429,Imported (USA)
P0010,Cheese,Dairy,651,Imported (China)
P0011,Yogurt,Dairy,26,Local Farm
P0012,Cheese,Dairy,321,Factory A
P0013,Yogurt,Dairy,93,Imported (USA)
P0014,Ice Cream,Dairy,654,Imported (USA)
P0015,Yogurt,Dairy,408,Imported (China)
P0016,Yogurt,Dairy,202,Factory A
P0017,Ice Cream,Dairy,107,Local Farm
P0018,Cheese,Dairy,546,Local Manufacturer
P0019,Milk,Dairy,310,Imported (USA)
P0020,Milk,Dairy,301,Local Manufacturer
P0021,Yogurt,Dairy,262,Local Farm
P0022,Yogurt,Dairy,434,Imported (USA)
P0023,Ice Cream,Dairy,109,Imported (China)
P0024,Milk,Dairy,183,Factory B
P0025,Cheese,Dairy,63,Factory B
P0026,Milk,Dairy,664,Local Farm
P0027,Yogurt,Dairy,621,Local Manufacturer
P0028,Ice Cream,Dairy,467,Local Manufacturer
P0029,Ice Cream,Dairy,661,Factory A
P0030,Butter,Dairy,644,Factory A
P0031,Milk,Dairy,170,Local Farm
P0032,Milk,Dairy,388,Factory B
P0033,Milk,Dairy,577,Imported (USA)
P0034,Butter,Dairy,88,Local Manufacturer
P0035,Yogurt,Dairy,26,Local Manufacturer
P0036,Milk,Dairy,118,Factory B
P0037,Cheese,Dairy,54,Factory B
P0038,Ice Cream,Dairy,285,Imported (China)
P0039,Yogurt,Dairy,145,Imported (USA)
P0040,Yogurt,Dairy,584,Imported (USA)
P0041,Milk,Dairy,174,Imported (USA)
P0042,Cheese,Dairy,38,Local Farm
P0043,Milk,Dairy,350,Imported (China)
P0044,Yogurt,Dairy,347,Imported (China)
P0045,Ice Cream,Dairy,61,Imported (USA)
P0046,Butter,Dairy,700,Imported (China)
P0047,Ice Cream,Dairy,430,Imported (USA)
P0048,Yogurt,Dairy,664,Local Farm
P0049,Yogurt,Dairy,138,Imported (China)
P0050,Yogurt,Dairy,637,Local Farm
P0051,Milk,Dairy,554,Factory B
P0052,Ice Cream,Dairy,439,Local Manufacturer
P0053,Ice Cream,Dairy,700,Factory B
P0054,Yogurt,Dairy,586,Factory A
P0055,Yogurt,Dairy,587,Imported (USA)
P0056,Butter,Dairy,688,Imported (USA)
P0057,Ice Cream,Dairy,593,Local Manufacturer
P0058,Yogurt,Dairy,608,Factory B
P0059,Milk,Dairy,148,Local Farm
P0060,Cheese,Dairy,359,Local Farm
P0061,Cheese,Dairy,118,Imported (China)
P0062,Milk,Dairy,156,Factory A
P0063,Cheese,Dairy,633,Local Farm
P0064,Butter,Dairy,78,Imported (China)
P0065,Butter,Dairy,289,Local Manufacturer
P0066,Butter,Dairy,561,Local Farm
P0067,Milk,Dairy,326,Local Manufacturer
P0068,Butter,Dairy,339,Local Farm
P0069,Butter,Dairy,27,Factory A
P0070,Cheese,Dairy,169,Factory A
P0071,Ice Cream,Dairy,214,Imported (USA)
P0072,Cardboard Box,Packaging,620,Local Farm
P0073,Containers,Packaging,571,Imported (USA)
P0074,Packaging,Packaging,688,Local Farm
P0075,Cardboard Box,Packaging,596,Imported (China)
P0076,Plastic Wrap,Packaging,537,Imported (USA)
P0077,Plastic Wrap,Packaging,614,Factory B
P0078,Styrofoam,Packaging,158,Local Manufacturer
P0079,Containers,Packaging,339,Factory B
P0080,Containers,Packaging,465,Local Manufacturer
P0081,Containers,Packaging,510,Factory A
P0082,Plastic Wrap,Packaging,269,Imported (China)
P0083,Packaging,Packaging,520,Local Manufacturer
P0084,Cardboard Box,Packaging,478,Imported (China)
P0085,Packaging,Packaging,109,Imported (USA)
P0086,Cardboard Box,Packaging,141,Imported (USA)
P0087,Packaging,Packaging,529,Imported (China)
P0088,Styrofoam,Packaging,87,Factory B
P0089,Cardboard Box,Packaging,114,Local Farm
P0090,Packaging,Packaging,330,Imported (China)
P0091,Plastic Wrap,Packaging,327,Factory B
P0092,Containers,Packaging,689,Imported (China)
P0093,Cardboard Box,Packaging,265,Local Farm
P0094,Packaging,Packaging,78,Local Farm
P0095,Styrofoam,Packaging,55,Local Farm
P0096,Containers,Packaging,449,Local Farm
P0097,Cardboard Box,Packaging,109,Imported (USA)
P0098,Styrofoam,Packaging,619,Factory A
P0099,Packaging,Packaging,128,Imported (USA)
P0100,Plastic Wrap,Packaging,575,Imported (China)
P0101,Plastic Wrap,Packaging,463,Local Farm
P0102,Cardboard Box,Packaging,510,Imported (USA)
P0103,Packaging,Packaging,258,Factory A
P0104,Packaging,Packaging,562,Imported (China)
P0105,Plastic Wrap,Packaging,280,Local Farm
P0106,Cardboard Box,Packaging,565,Imported (USA)
P0107,Styrofoam,Packaging,421,Local Manufacturer
P0108,Containers,Packaging,451,Local Manufacturer
P0109,Cardboard Box,Packaging,576,Local Manufacturer
P0110,Packaging,Packaging,66,Imported (China)
P0111,Plastic Wrap,Packaging,196,Imported (China)
P0112,Containers,Packaging,394,Imported (USA)
P0113,Plastic Wrap,Packaging,143,Imported (China)
P0114,Cardboard Box,Packaging,233,Local Farm
P0115,Packaging,Packaging,79,Local Farm
P0116,Plastic Wrap,Packaging,578,Imported (China)
P0117,Packaging,Packaging,376,Factory B
P0118,Plastic Wrap,Packaging,521,Imported (USA)
P0119,Plastic Wrap,Packaging,537,Imported (USA)
P0120,Plastic Wrap,Packaging,437,Imported (USA)
P0121,Cardboard Box,Packaging,377,Local Manufacturer
P0122,Cardboard Box,Packaging,700,Local Manufacturer
P0123,Styrofoam,Packaging,330,Factory B
P0124,Styrofoam,Packaging,610,Factory A
P0125,Styrofoam,Packaging,363,Imported (USA)
P0126,Packaging,Packaging,258,Factory A
P0127,Containers,Packaging,619,Local Farm
P0128,Packaging,Packaging,557,Imported (USA)
P0129,Packaging,Packaging,171,Imported (China)
P0130,Packaging,Packaging,314,Local Farm
P0131,Containers,Packaging,577,Local Farm
P0132,Styrofoam,Packaging,447,Local Farm
P0133,Containers,Packaging,475,Factory B
P0134,Packaging,Packaging,593,Factory A
P0135,Packaging,Packaging,643,Imported (China)
P0136,Styrofoam,Packaging,502,Local Manufacturer
P0137,Packaging,Packaging,58,Factory B
P0138,Packaging,Packaging,482,Imported (China)
P0139,Plastic Wrap,Packaging,587,Factory B
P0140,Containers,Packaging,637,Factory A
P0141,Plastic Wrap,Packaging,643,Local Manufacturer
P0142,Containers,Packaging,568,Local Manufacturer
P0143,Cardboard Box,Packaging,225,Imported (USA)
P0144,Battery,Electronics,229,Factory B
P0145,Headphones,Electronics,411,Factory A
P0146,Headphones,Electronics,310,Imported (China)
P0147,Phone,Electronics,275,Imported (USA)
