ProductID,Product,Category,Units_Sold,ProductionSource
P0001,Ice Cream,Dairy,160,Imported (USA)
P0002,Yogurt,Dairy,132,Local Manufacturer
P0003,Butter,Dairy,735,Local Farm
P0004,Ice Cream,Dairy,319,Local Manufacturer
P0005,Cheese,Dairy,636,Factory A
P0006,Butter,Dairy,162,Local Farm
P0007,Yogurt,Dairy,783,Imported (USA)
P0008,Butter,Dairy,100,Local Farm
P0009,Yogurt,Dairy,120,Local Manufacturer
P0010,Butter,Dairy,457,Local Farm
P0011,Milk,Dairy,522,Factory A
P0012,Ice Cream,Dairy,778,Factory B
P0013,Milk,Dairy,587,Factory A
P0014,Milk,Dairy,552,Local Manufacturer
P0015,Cheese,Dairy,279,Imported (USA)
P0016,Milk,Dairy,661,Imported (USA)
P0017,Ice Cream,Dairy,696,Imported (China)
P0018,Milk,Dairy,556,Imported (USA)
P0019,Butter,Dairy,639,Local Farm
P0020,Yogurt,Dairy,361,Local Manufacturer
P0021,Ice Cream,Dairy,290,Local Manufacturer
P0022,Ice Cream,Dairy,589,Imported (USA)
P0023,Butter,Dairy,224,Imported (USA)
P0024,Ice Cream,Dairy,382,Local Manufacturer
P0025,Ice Cream,Dairy,673,Factory B
P0026,Ice Cream,Dairy,44,Factory B
P0027,Cheese,Dairy,89,Imported (China)
P0028,Butter,Dairy,86,Imported (China)
P0029,Cheese,Dairy,213,Factory A
P0030,Cheese,Dairy,329,Factory B
P0031,Yogurt,Dairy,674,Factory A
P0032,Yogurt,Dairy,90,Imported (China)
P0033,Cheese,Dairy,127,Local Farm
P0034,Milk,Dairy,611,Factory A
P0035,Milk,Dairy,167,Local Manufacturer
P0036,Milk,Dairy,265,Factory A
P0037,Cheese,Dairy,519,Local Manufacturer
P0038,Ice Cream,Dairy,793,Factory A
P0039,Butter,Dairy,792,Imported (USA)
P0040,Ice Cream,Dairy,265,Local Farm
P0041,Yogurt,Dairy,619,Factory B
P0042,Cheese,Dairy,194,Factory B
P0043,Milk,Dairy,307,Local Farm
P0044,Yogurt,Dairy,410,Factory B
P0045,Ice Cream,Dairy,307,Imported (China)
P0046,Ice Cream,Dairy,455,Factory A
P0047,Yogurt,Dairy,435,Imported (China)
P0048,Butter,Dairy,422,Imported (USA)
P0049,Cheese,Dairy,798,Imported (China)
